concept_name,concept_namespace
id_g,gip
hhid_g,gip
pid,gip
gender_17,gip
year_of_birth_cat_17,gip
educ_school_17,gip
educ_job_17,gip
marital_status_17,gip
number_hh_members_17,gip
occupation_17,gip
german_citizenship_17,gip
internet_usage_17,gip
state_17,gip
sample,gip
dDatum,gip
online_status_wave,gip
RM35001,gip
RM35002_a,gip
RM35002_b,gip
RM35002_c,gip
RM35002_d,gip
RM35002_e,gip
RM35002_f,gip
RM35002_g,gip
RM35002_h,gip
RM35003,gip
RM35004,gip
RM35005_a,gip
RM35005_b,gip
RM35005_c,gip
RM35005_d,gip
RM35005_e,gip
RM35005_f,gip
RM35005_g,gip
RM35005_h,gip
RM35005_i,gip
RM35005_j,gip
RM35006,gip
RM35007,gip
expRM35008,gip
RM35008,gip
RM35009,gip
RM35010,gip
RM35011,gip
RM35012,gip
RM35013,gip
RM35014,gip
RM35015,gip
RM35016,gip
RM35017,gip
RM35018,gip
RM35019,gip
RM35020_a,gip
RM35020_b,gip
RM35020_c,gip
RM35020_d,gip
RM35020_e,gip
RM35020_f,gip
RM35020_g,gip
RM35020_h,gip
RM35020_i,gip
RM35020_j,gip
RM35021_a,gip
RM35021_b,gip
RM35021_c,gip
RM35021_d,gip
RM35021_e,gip
RM35021_f,gip
RM35021_g,gip
RM35021_h,gip
RM35021_i,gip
RM35021_j,gip
RM35022_a,gip
RM35022_b,gip
RM35022_c,gip
RM35022_d,gip
RM35022_e,gip
RM35022_f,gip
RM35022_g,gip
RM35022_h,gip
RM35022_i,gip
RM35022_j,gip
RM35022_k,gip
RM35023,gip
RM35024,gip
CE35304,gip
rndCE35250,gip
CE35250,gip
CE35252,gip
CE35254,gip
CE35256,gip
CE35258,gip
CE35260,gip
CE35262,gip
rndZJ35030,gip
ZJ35030,gip
ZJ35031,gip
QE35001,gip
QE35002,gip
QE35003,gip
QE35004,gip
QE35005,gip
QE35006,gip
QE35007,gip
QE35008_TXT_na,gip
expCG36098,gip
CG36099,gip
CG36100,gip
CG36101,gip
CG36102,gip
ZH36032,gip
rndCG36001,gip
CG36001,gip
CG36003,gip
CG36004,gip
CG36005,gip
CG36006,gip
CG36007,gip
expCG36095,gip
CG36095,gip
expCG36096,gip
CG36096,gip
expCD36129,gip
CD36129,gip
expCD36130,gip
CD36131,gip
CD36132,gip
expCD36133,gip
CD36134,gip
AC36184,gip
AC36185,gip
AC36186,gip
AC36187,gip
AC36188,gip
AC36189,gip
AC36190,gip
AC36191,gip
AC36192,gip
AC36193,gip
AC36194,gip
AA36005,gip
AC33058,gip
expAC36058,gip
AC36058,gip
AC36194_TXT_na,gip
AC33067,gip
expAC36067,gip
AC36067,gip
AC36195_TXT_na,gip
CF36076,gip
expCF36077,gip
CF36078,gip
CF36079,gip
CF36080,gip
CF36081,gip
rndCF36082,gip
CF36082,gip
rndCF36083,gip
CF36083,gip
rndCF36084,gip
CF36084,gip
expCF36085,gip
CF36086,gip
CF36087_a,gip
CF36087_b,gip
CF36087_c,gip
CF36087_d,gip
CF36087_e,gip
CF36087_f,gip
CF36087_g,gip
CF36087_h,gip
CF36087_i,gip
CF36087_j,gip
CF36087_k,gip
CF36087_l,gip
CF36040,gip
CF36002,gip
CF36003,gip
expCF36004,gip
CF36004,gip
CF36012,gip
rndZJ36032,gip
ZJ36032,gip
CE36152,gip
CE36300,gip
CE36233,gip
CE36307,gip
QE36001,gip
QE36002,gip
QE36003,gip
QE36004,gip
QE36005,gip
QE36006,gip
QE36007,gip
QE36008_TXT_na,gip
gender_18,gip
year_of_birth_cat_18,gip
educ_school_18,gip
educ_job_18,gip
marital_status_18,gip
number_hh_members_18,gip
occupation_18,gip
german_citizenship_18,gip
internet_usage_18,gip
state_18,gip
AA37401,gip
AA37402,gip
AA37403,gip
AA37404,gip
AA37405_NA,gip
AA37406_NA,gip
AA37408_NA,gip
AA37400_TXT_NA,gip
AA37409,gip
AA37410_NA,gip
AA37210,gip
