study_name,instrument_name,question_name,dataset_name,variable_name
gip,W20,Page 2,GIP_W20_V2,CE20056
gip,W20,Page 3,GIP_W20_V2,CE20190
gip,W20,Page 3,GIP_W20_V2,CE20191
gip,W20,Page 3,GIP_W20_V2,CE20192
gip,W20,Page 3,GIP_W20_V2,CE20193
gip,W20,Page 3,GIP_W20_V2,CE20194
gip,W20,Page 3,GIP_W20_V2,CE20191
gip,W20,Page 3,GIP_W20_V2,CE20192
gip,W20,Page 3,GIP_W20_V2,CE20193
gip,W20,Page 3,GIP_W20_V2,CE20194
gip,W20,Page 3,GIP_W20_V2,CE20191
gip,W20,Page 3,GIP_W20_V2,CE20192
gip,W20,Page 3,GIP_W20_V2,CE20193
gip,W20,Page 3,GIP_W20_V2,CE20194
gip,W20,Page 4,GIP_W20_V2,CE20195
gip,W20,Page 5,GIP_W20_V2,CE20196
gip,W20,Page 6,GIP_W20_V2,CE20197
gip,W20,Page 7,GIP_W20_V2,CE20198
gip,W20,Page 8,GIP_W20_V2,CE20199
gip,W20,Page 9,GIP_W20_V2,CE20200
gip,W20,Page 10,GIP_W20_V2,CE20201
gip,W20,Page 11,GIP_W20_V2,CE20202
gip,W20,Page 11,GIP_W20_V2,CE20203
gip,W20,Page 11,GIP_W20_V2,CE20204
gip,W20,Page 11,GIP_W20_V2,CE20205
gip,W20,Page 11,GIP_W20_V2,CE20202
gip,W20,Page 11,GIP_W20_V2,CE20203
gip,W20,Page 11,GIP_W20_V2,CE20204
gip,W20,Page 11,GIP_W20_V2,CE20205
gip,W20,Page 12,GIP_W20_V2,BF20070
gip,W20,Page 13,GIP_W20_V2,BF20071
gip,W20,Page 14,GIP_W20_V2,BF20072
gip,W20,Page 15,GIP_W20_V2,BF20073
gip,W20,Page 16,GIP_W20_V2,BF20074
gip,W20,Page 17,GIP_W20_V2,BF20075
gip,W20,Page 17,GIP_W20_V2,BF20076
gip,W20,Page 17,GIP_W20_V2,BF20077
gip,W20,Page 17,GIP_W20_V2,BF20078
gip,W20,Page 17,GIP_W20_V2,BF20079
gip,W20,Page 17,GIP_W20_V2,BF20080
gip,W20,Page 17,GIP_W20_V2,BF20081
gip,W20,Page 17,GIP_W20_V2,BF20082
gip,W20,Page 17,GIP_W20_V2,BF20075
gip,W20,Page 17,GIP_W20_V2,BF20076
gip,W20,Page 17,GIP_W20_V2,BF20077
gip,W20,Page 17,GIP_W20_V2,BF20078
gip,W20,Page 17,GIP_W20_V2,BF20079
gip,W20,Page 17,GIP_W20_V2,BF20080
gip,W20,Page 17,GIP_W20_V2,BF20081
gip,W20,Page 17,GIP_W20_V2,BF20082
gip,W20,Page 18,GIP_W20_V2,BF20083
gip,W20,Page 19,GIP_W20_V2,BF20084
gip,W20,Page 20,GIP_W20_V2,BF20085
gip,W20,Page 21,GIP_W20_V2,BF20086
gip,W20,Page 22,GIP_W20_V2,BF20087
gip,W20,Page 23,GIP_W20_V2,BF20088
gip,W20,Page 24,GIP_W20_V2,BF20089
gip,W20,Page 24,GIP_W20_V2,BF20089
gip,W20,Page 25,GIP_W20_V2,BF20090
gip,W20,Page 25,GIP_W20_V2,BF20090
gip,W20,Page 26,GIP_W20_V2,BF20091
gip,W20,Page 27,GIP_W20_V2,BF20092
gip,W20,Page 28,GIP_W20_V2,BF20093
gip,W20,Page 28,GIP_W20_V2,BF20093
gip,W20,Page 29,GIP_W20_V2,CD20100
gip,W20,Page 30,GIP_W20_V2,CD20101
gip,W20,Page 31,GIP_W20_V2,CD20102
gip,W20,Page 32,GIP_W20_V2,CD20103
gip,W20,Page 33,GIP_W20_V2,CD20104
gip,W20,Page 34,GIP_W20_V2,CD20105
gip,W20,Page 35,GIP_W20_V2,CD20106
gip,W20,Page 36,GIP_W20_V2,CD20107
gip,W20,Page 37,GIP_W20_V2,CD20108
gip,W20,Page 38,GIP_W20_V2,CD20109
gip,W20,Page 38,GIP_W20_V2,CD20110
gip,W20,Page 38,GIP_W20_V2,CD20109
gip,W20,Page 38,GIP_W20_V2,CD20110
gip,W20,Page 39,GIP_W20_V2,CD20111
gip,W20,Page 39,GIP_W20_V2,CD20112
gip,W20,Page 39,GIP_W20_V2,CD20111
gip,W20,Page 39,GIP_W20_V2,CD20112
gip,W20,Page 40,GIP_W20_V2,CD20113
gip,W20,Page 41,GIP_W20_V2,BE20070_a
gip,W20,Page 41,GIP_W20_V2,BE20070_b
gip,W20,Page 41,GIP_W20_V2,BE20070_c
gip,W20,Page 41,GIP_W20_V2,BE20070_d
gip,W20,Page 41,GIP_W20_V2,BE20070_e
gip,W20,Page 41,GIP_W20_V2,BE20070_f
gip,W20,Page 41,GIP_W20_V2,BE20070_g
gip,W20,Page 41,GIP_W20_V2,BE20070_h
gip,W20,Page 41,GIP_W20_V2,BE20070_i
gip,W20,Page 41,GIP_W20_V2,BE20070_j
gip,W20,Page 41,GIP_W20_V2,BE20070_a
gip,W20,Page 41,GIP_W20_V2,BE20070_b
gip,W20,Page 41,GIP_W20_V2,BE20070_c
gip,W20,Page 41,GIP_W20_V2,BE20070_d
gip,W20,Page 41,GIP_W20_V2,BE20070_e
gip,W20,Page 41,GIP_W20_V2,BE20070_f
gip,W20,Page 41,GIP_W20_V2,BE20070_g
gip,W20,Page 41,GIP_W20_V2,BE20070_h
gip,W20,Page 41,GIP_W20_V2,BE20070_i
gip,W20,Page 41,GIP_W20_V2,BE20070_j
gip,W20,Page 42,GIP_W20_V2,BE20071
gip,W20,Page 43,GIP_W20_V2,BE20072
gip,W20,Page 44,GIP_W20_V2,BE20073
gip,W20,Page 45,GIP_W20_V2,BE20074
gip,W20,Page 45,GIP_W20_V2,BE20075
gip,W20,Page 45,GIP_W20_V2,BE20076_DK
gip,W20,Page 45,GIP_W20_V2,BE20074
gip,W20,Page 45,GIP_W20_V2,BE20075
gip,W20,Page 45,GIP_W20_V2,BE20076_DK
gip,W20,Page 46,GIP_W20_V2,BE20077
gip,W20,Page 49,GIP_W20_V2,AE20030
gip,W20,Page 50,GIP_W20_V2,AE20031
gip,W20,Page 51,GIP_W20_V2,AE20032
gip,W20,Page 52,GIP_W20_V2,AE20033
gip,W20,Page 53,GIP_W20_V2,AE20034
gip,W20,Page 54,GIP_W20_V2,QE20001
gip,W20,Page 54,GIP_W20_V2,QE20002
gip,W20,Page 54,GIP_W20_V2,QE20003
gip,W20,Page 54,GIP_W20_V2,QE20004
gip,W20,Page 54,GIP_W20_V2,QE20005
gip,W20,Page 54,GIP_W20_V2,QE20006
gip,W20,Page 54,GIP_W20_V2,QE20007
gip,W20,Page 54,GIP_W20_V2,QE20008_TXT
gip,W20,Page 54,GIP_W20_V2,QE20001
gip,W20,Page 54,GIP_W20_V2,QE20002
gip,W20,Page 54,GIP_W20_V2,QE20003
gip,W20,Page 54,GIP_W20_V2,QE20004
gip,W20,Page 54,GIP_W20_V2,QE20005
gip,W20,Page 54,GIP_W20_V2,QE20006
gip,W20,Page 54,GIP_W20_V2,QE20007
gip,W20,Page 54,GIP_W20_V2,QE20008_TXT
gip,W21,Page 2,GIP_W21_V2,CF21001
gip,W21,Page 3,GIP_W21_V2,CF21002
gip,W21,Page 4,GIP_W21_V2,CF21003
gip,W21,Page 5,GIP_W21_V2,CF21004
gip,W21,Page 6,GIP_W21_V2,CF21012
gip,W21,Page 7,GIP_W21_V2,BE21080
gip,W21,Page 11,GIP_W21_V2,BE21081
gip,W21,Page 12,GIP_W21_V2,BE21082
gip,W21,Page 12,GIP_W21_V2,BE21082_1
gip,W21,Page 12,GIP_W21_V2,BE21082_1
gip,W21,Page 13,GIP_W21_V2,BE21083
gip,W21,Page 13,GIP_W21_V2,BE21083_1
gip,W21,Page 13,GIP_W21_V2,BE21083_1
gip,W21,Page 14,GIP_W21_V2,BE21084
gip,W21,Page 15,GIP_W21_V2,BE21085
gip,W21,Page 16,GIP_W21_V2,BE21086
gip,W21,Page 17,GIP_W21_V2,BE21087
gip,W21,Page 18,GIP_W21_V2,BE21088
gip,W21,Page 19,GIP_W21_V2,BE21089
gip,W21,Page 19,GIP_W21_V2,BE21090
gip,W21,Page 19,GIP_W21_V2,BE21089
gip,W21,Page 19,GIP_W21_V2,BE21090
gip,W21,Page 20,GIP_W21_V2,BE21091
gip,W21,Page 21,GIP_W21_V2,BE21092
gip,W21,Page 22,GIP_W21_V2,BE21093
gip,W21,Page 23,GIP_W21_V2,BE21094
gip,W21,Page 24,GIP_W21_V2,BE21095
gip,W21,Page 26,GIP_W21_V2,AC21050
gip,W21,Page 26.50,GIP_W21_V2,AC21050
