study,name,label,label_de,description,description_de,topic
gip,id_g,,,,,
gip,hhid_g,,,,,
gip,pid,,,,,
gip,gender_20,,,,,
gip,year_of_birth_cat_20,,,,,
gip,educ_school_21,,,,,
gip,educ_job_21,,,,,
gip,marital_status_21,,,,,
gip,number_hh_members_21,,,,,
gip,occupation_21,,,,,
gip,german_citizenship_21,,,,,
gip,internet_usage_20,,,,,
gip,state_21,,,,,
gip,sample,,,,,
gip,dDatum,,,,,
gip,online_status_wave,,,,,
gip,RMxx001,,,,,
gip,RMxx002_a,,,,,
gip,RMxx002_b,,,,,
gip,RMxx002_c,,,,,
gip,RMxx002_d,,,,,
gip,RMxx002_e,,,,,
gip,RMxx002_f,,,,,
gip,RMxx002_g,,,,,
gip,RMxx002_h,,,,,
gip,RMxx003,,,,,
gip,RMxx004,,,,,
gip,RMxx005_a,,,,,
gip,RMxx005_b,,,,,
gip,RMxx005_c,,,,,
gip,RMxx005_d,,,,,
gip,RMxx005_e,,,,,
gip,RMxx005_f,,,,,
gip,RMxx005_g,,,,,
gip,RMxx005_h,,,,,
gip,RMxx005_i,,,,,
gip,RMxx005_j,,,,,
gip,RMxx006,,,,,
gip,RMxx007,,,,,
gip,expRMxx008,,,,,
gip,RMxx008,,,,,
gip,RMxx009,,,,,
gip,RMxx010,,,,,
gip,RMxx011,,,,,
gip,RMxx012,,,,,
gip,RMxx013,,,,,
gip,RMxx014,,,,,
gip,RMxx015,,,,,
gip,RMxx016,,,,,
gip,CFxx015,,,,,
gip,RMxx018,,,,,
gip,RMxx019,,,,,
gip,RMxx020_a,,,,,
gip,RMxx020_b,,,,,
gip,RMxx020_c,,,,,
gip,RMxx020_d,,,,,
gip,RMxx020_e,,,,,
gip,RMxx020_f,,,,,
gip,RMxx020_g,,,,,
gip,RMxx020_h,,,,,
gip,RMxx020_i,,,,,
gip,RMxx020_j,,,,,
gip,RMxx021_a,,,,,
gip,RMxx021_b,,,,,
gip,RMxx021_c,,,,,
gip,RMxx021_d,,,,,
gip,RMxx021_e,,,,,
gip,RMxx021_f,,,,,
gip,RMxx021_g,,,,,
gip,RMxx021_h,,,,,
gip,RMxx021_i,,,,,
gip,RMxx021_j,,,,,
gip,RMxx022_a,,,,,
gip,RMxx022_b,,,,,
gip,RMxx022_c,,,,,
gip,RMxx022_d,,,,,
gip,RMxx022_e,,,,,
gip,RMxx022_f,,,,,
gip,RMxx022_g,,,,,
gip,RMxx022_h,,,,,
gip,RMxx022_i,,,,,
gip,RMxx022_j,,,,,
gip,RMxx022_k,,,,,
gip,RMxx023,,,,,
gip,RMxx024,,,,,
gip,CFxx002,,,,,
gip,CFxx001,,,,,
gip,CFxx103,,,,,
gip,rndCFxx104,,,,,
gip,CFxx104_a,,,,,
gip,CFxx104_b,,,,,
gip,CFxx104_c,,,,,
gip,CFxx104_d,,,,,
gip,CFxx104_e,,,,,
gip,CFxx104_f,,,,,
gip,CFxx104_g,,,,,
gip,CFxx104_h,,,,,
gip,CFxx105,,,,,
gip,rndCFxx106,,,,,
gip,CFxx106_a,,,,,
gip,CFxx106_b,,,,,
gip,CFxx106_c,,,,,
