study,dataset,name,concept
gip,GIP_W20_V2,id_g,id_g
gip,GIP_W20_V2,hhid_g,hhid_g
gip,GIP_W20_V2,pid,pid
gip,GIP_W20_V2,gender_15,gender_15
gip,GIP_W20_V2,year_of_birth_cat,year_of_birth_cat
gip,GIP_W20_V2,educ_school_15,educ_school_15
gip,GIP_W20_V2,educ_job_15,educ_job_15
gip,GIP_W20_V2,marital_status_15,marital_status_15
gip,GIP_W20_V2,number_hh_members_15,number_hh_members_15
gip,GIP_W20_V2,occupation_15,occupation_15
gip,GIP_W20_V2,state,state
gip,GIP_W20_V2,german_citizenship_15,german_citizenship_15
gip,GIP_W20_V2,internet_usage_15,internet_usage_15
gip,GIP_W20_V2,sample,sample
gip,GIP_W20_V2,dDatum,dDatum
gip,GIP_W20_V2,hOnline,hOnline
gip,GIP_W20_V2,javascript,javascript
gip,GIP_W20_V2,BF17035,BFxx035
gip,GIP_W20_V2,BF17031,BFxx031
gip,GIP_W20_V2,educ_job_14,educ_job_14
gip,GIP_W20_V2,expBF17036,expBFxx036
gip,GIP_W20_V2,BE15027_a,BExx027_a
gip,GIP_W20_V2,BE18040_a,BExx040_a
gip,GIP_W20_V2,BE15027_h,BExx027_h
gip,GIP_W20_V2,BE18040_h,BExx040_h
gip,GIP_W20_V2,CE20056,CExx056
gip,GIP_W20_V2,expCE20190,expCExx190
gip,GIP_W20_V2,rndCE20191,rndCExx191
gip,GIP_W20_V2,CE20190,CExx190
gip,GIP_W20_V2,CE20191,CExx191
gip,GIP_W20_V2,CE20192,CExx192
gip,GIP_W20_V2,CE20193,CExx193
gip,GIP_W20_V2,CE20194,CExx194
gip,GIP_W20_V2,CE20195,CExx195
gip,GIP_W20_V2,expCE20196,expCExx196
gip,GIP_W20_V2,rndCE20196,rndCExx196
gip,GIP_W20_V2,CE20196,CExx196
gip,GIP_W20_V2,CE20197,CExx197
gip,GIP_W20_V2,CE20198,CExx198
gip,GIP_W20_V2,CE20199,CExx199
gip,GIP_W20_V2,rndCE20200,rndCExx200
gip,GIP_W20_V2,CE20200,CExx200
gip,GIP_W20_V2,CE20201,CExx201
gip,GIP_W20_V2,rndCE20202,rndCExx202
gip,GIP_W20_V2,CE20202,CExx202
gip,GIP_W20_V2,CE20203,CExx203
gip,GIP_W20_V2,CE20204,CExx204
gip,GIP_W20_V2,CE20205,CExx205
gip,GIP_W20_V2,BF20070,BFxx070
gip,GIP_W20_V2,BF20071,BFxx071
gip,GIP_W20_V2,BF20072,BFxx072
gip,GIP_W20_V2,BF20073,BFxx073
gip,GIP_W20_V2,BF20074,BFxx074
gip,GIP_W20_V2,BF20075_youngest,BFxx075_youngest
gip,GIP_W20_V2,BF20075_oldest,BFxx075_oldest
gip,GIP_W20_V2,BF20083,BFxx083
gip,GIP_W20_V2,BF20084,BFxx084
gip,GIP_W20_V2,BF20085,BFxx085
gip,GIP_W20_V2,BF20086,BFxx086
gip,GIP_W20_V2,BF20087,BFxx087
gip,GIP_W20_V2,BF20088,BFxx088
gip,GIP_W20_V2,BF20089,BFxx089
gip,GIP_W20_V2,BF20089_NA,BFxx089_NA
gip,GIP_W20_V2,BF20090,BFxx090
gip,GIP_W20_V2,BF20090_NA,BFxx090_NA
gip,GIP_W20_V2,BF20091,BFxx091
gip,GIP_W20_V2,BF20092,BFxx092
gip,GIP_W20_V2,BF20093,BFxx093
gip,GIP_W20_V2,BF20093_NA,BFxx093_NA
gip,GIP_W20_V2,CD20100,CDxx100
gip,GIP_W20_V2,CD20101,CDxx101
gip,GIP_W20_V2,CD20102,CDxx102
gip,GIP_W20_V2,CD20103,CDxx103
gip,GIP_W20_V2,CD20104,CDxx104
gip,GIP_W20_V2,CD20105,CDxx105
gip,GIP_W20_V2,rndCD20106,rndCDxx106
gip,GIP_W20_V2,CD20106,CDxx106
gip,GIP_W20_V2,CD20107,CDxx107
gip,GIP_W20_V2,CD20108,CDxx108
gip,GIP_W20_V2,rndCD20109,rndCDxx109
gip,GIP_W20_V2,CD20109,CDxx109
gip,GIP_W20_V2,CD20110,CDxx110
gip,GIP_W20_V2,rndCD20111,rndCDxx111
gip,GIP_W20_V2,CD20111,CDxx111
gip,GIP_W20_V2,CD20112,CDxx112
gip,GIP_W20_V2,expCD20113,expCDxx113
